state,category,year,crimes
Malaysia,assault,2016,22327
Malaysia,assault,2017,21366
Malaysia,assault,2018,16902
Malaysia,assault,2019,16489
Malaysia,assault,2020,13279
Malaysia,assault,2021,11495
Malaysia,assault,2022,10348
Malaysia,assault,2023,10453
Malaysia,property,2016,90028
Malaysia,property,2017,77804
Malaysia,property,2018,71760
Malaysia,property,2019,66967
Malaysia,property,2020,52344
Malaysia,property,2021,41479
Malaysia,property,2022,40465
Malaysia,property,2023,41991
